,,Appendix - I,,,,,,,,
,,,,,,,,,,
S.No,HEA combinations,dHmix,dSmix,dGmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Phases,doi
34,Al0.5TiZrNbHf  ,-11.41150519,13.22403856,507.9083277,2030.293838,4.737205319,0.161489209,4.760510655,BCC,10.1016/j.triboint.2021.107031
35,Al0.6MoNbTaTiV,-11.82109597,13.16173408,505.6174518,2036.036363,4.600390006,0.174493252,4.732310725,BCC,10.1016/j.ijrmhm.2019.104988
36,Al0.6MoTaTiV,-8.015122873,13.24232516,510.4350562,1965.07407,3.904515056,0.235770867,4.739130435,BCC,10.4028/www.scientific.net/MSF.898.638
37,Al0.75CoCrCu0.25FeNiTi0.5,-14.38842975,15.54807926,355.3300781,1380.236222,6.381032408,0.132989312,7.272727273,BCC,10.1016/j.jallcom.2008.11.059
38,Al0.75HfNbTaTiZr,-11.55,14.86,597.7555038,2315.67,4.23,0.12,4.22,BCC,10.1016/j.jallcom.2014.11.064
39,Al0.75HfNbTiZr,-15.64542936,13.33280622,487.503048,1877.475111,4.969833989,0.133767069,4.052631579,BCC,10.1016/j.mtcomm.2018.06.004
40,Al0.75MoNbTiV,-9.351800554,13.33280622,497.3287529,1915.290482,3.863331752,0.232764906,4.684210526,BCC,10.3390/e16020870
41,Al0.75NbTiMoV,-13.19755867,14.09148461,494.4732924,1810.833049,4.67925056,0.177561199,4.944820763,BCC,10.3390/e16020870 
42,Al0.75TiZrNbHf ,-13.76857455,14.16731624,492.1441534,1809.436951,4.768424893,0.181541574,4.998248421,BCC,10.1016/j.triboint.2021.107031
43,Al0.8CoCrFeNiTi0.2,-21.97777778,14.84171088,371.6384062,1439.660858,7.321195919,0.14400463,6.7,FCC+BCC,10.1016/j.jallcom.2019.07.100
44,Al0.8CoCrFeNiTi1.2,-21.97777778,14.84171088,371.6384062,1439.660858,7.321195919,0.14400463,6.7,MIP,10.1016/j.jallcom.2019.07.100
45,Al1.25HfNbTiZr,-22.31292517,13.34553197,461.6108101,1777.874752,4.95666278,0.133805287,3.952380952,BCC,10.1016/j.mtcomm.2018.06.004
46,Al1.2CoCrFeNiTi0.8,-20.86666667,14.84171088,353.391497,1368.975464,7.117831292,0.138610566,6.633333333,BCC,10.1016/j.jallcom.2019.07.100
47,Al1.5CoCrFeNiTi0.5,-19.33333333,14.53497229,340.6359879,1317.993867,6.95835874,0.134316686,6.583333333,MIP,10.1016/j.jallcom.2019.07.101
48,Al1.5HfNbTiZr,-24.66115702,13.2546386,450.3596584,1733.945573,4.937539432,0.133404251,3.909090909,BCC,10.1016/j.mtcomm.2018.06.004
